pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
4i8x,2.64,4.54,4.54
4q7w,2.64,4.54,4.54
4q8y,2.64,4.54,4.54
4ufl,2.64,4.54,4.54
3a1e,2.66,4.54,4.54
3lvw,2.67,4.54,4.54
4b3c,2.68,4.54,4.54
4b3d,2.68,4.54,4.54
3elc,2.69,4.54,4.54
2fzc,2.7,4.54,4.54
2uyn,2.7,4.54,4.54
3bra,2.7,4.54,4.54
1pfu,2.72,4.54,4.54
2rkd,2.72,4.54,4.54
2qwb,2.74,4.54,4.54
2vyt,2.74,4.54,4.54
4m6u,2.74,4.54,4.54
4ndu,2.74,4.54,4.54
1rql,2.75,4.54,4.54
4bt5,2.76,4.54,4.54
4kz3,2.77,4.54,4.54
4ykk,2.77,4.54,4.54
2bza,2.8,4.54,4.54
3djx,2.81,4.54,4.54
4rrg,2.81,4.54,4.54
3ppr,2.82,4.54,4.54
4dsu,2.82,4.54,4.54
4k7i,2.82,4.54,4.54
3moh,2.84,4.54,4.54
3zt3,2.86,4.54,4.54
4ouj,2.86,4.54,4.54
1cet,2.89,4.54,4.54
1iih,2.89,4.54,4.54
1ugp,2.89,4.54,4.54
4b35,2.89,4.54,4.54
4gqq,2.89,4.54,4.54
4kzb,2.89,4.54,4.54
1h2k,2.92,4.54,4.54
2fw6,2.92,4.54,4.54
3alt,2.92,4.54,4.54
3k8c,2.92,4.54,4.54
4ai5,2.92,4.54,4.54
4ef6,2.92,4.54,4.54
4lm3,2.92,4.54,4.54
4y2q,2.92,4.54,4.54
5ct2,2.92,4.54,4.54
1tng,2.93,4.54,4.54
2vmc,2.94,4.54,4.54
1f4e,2.96,4.54,4.54
2w8j,2.96,4.54,4.54
3dhv,2.96,4.54,4.54
3g34,2.96,4.54,4.54
3imc,2.96,4.54,4.54
4dst,2.96,4.54,4.54
4mrg,2.96,4.54,4.54
2hw2,2.97,4.54,4.54
4ceb,2.97,4.54,4.54
3ckb,2.98,4.54,4.54
3djq,2.98,4.54,4.54
4ibc,2.98,4.54,4.54
4bps,2.99,4.54,4.54
1ecq,3,4.54,4.54
1ws4,3,4.54,4.54
2q8h,3,4.54,4.54
2rka,3,4.54,4.54
2v3u,3,4.54,4.54
3ime,3,4.54,4.54
4b2i,3,4.54,4.54
4k0o,3,4.54,4.54
4l51,3,4.54,4.54
4llk,3,4.54,4.54
4u0w,3,4.54,4.54
1utm,3.01,4.54,4.54
4g0p,3.01,4.54,4.54
2vmd,3.02,4.54,4.54
1ogd,3.03,4.54,4.54
2ha3,3.03,4.54,4.54
3adv,3.03,4.54,4.54
4lm2,3.03,4.54,4.54
4qp2,3.03,4.54,4.54
5aoi,3.03,4.54,4.54
1rtf,3.04,4.54,4.54
3t1m,3.04,4.54,4.54
4lm4,3.04,4.54,4.54
1f74,3.05,4.54,4.54
1uj6,3.05,4.54,4.54
4g5f,3.05,4.54,4.54
2jfh,3.06,4.54,4.54
1rnm,3.07,4.54,4.54
3mof,3.07,4.54,4.54
1y1z,3.08,4.54,4.54
1ec9,3.1,4.54,4.54
3buf,3.1,4.54,4.54
3f78,3.1,4.54,4.54
4cjr,3.1,4.54,4.54
3c2r,3.11,4.54,4.54
4cgi,3.12,4.54,4.54
1ax0,3.13,4.54,4.54
5c5t,3.13,4.54,4.54
2ya7,3.14,4.54,4.54
4b34,3.14,4.54,4.54
1e6q,3.15,4.54,4.54
4de5,3.15,4.54,4.54
4fzj,3.15,4.54,4.54
3f34,3.16,4.54,4.54
1lbk,3.18,4.54,4.54
1ro7,3.18,4.54,4.54
3bug,3.18,4.54,4.54
3dxh,3.19,4.54,4.54
4gzx,3.19,4.54,4.54
1s5z,3.21,4.54,4.54
1br6,3.22,4.54,4.54
1e6s,3.22,4.54,4.54
1ew9,3.22,4.54,4.54
1k1y,3.22,4.54,4.54
1tog,3.22,4.54,4.54
2ri9,3.22,4.54,4.54
2uy3,3.22,4.54,4.54
4n5d,3.22,4.54,4.54
1px4,3.23,4.54,4.54
3zsy,3.23,4.54,4.54
4lm1,3.23,4.54,4.54
4unp,3.23,4.54,4.54
3qfz,3.24,4.54,4.54
4b2l,3.24,4.54,4.54
4qlk,3.24,4.54,4.54
1v2j,3.25,4.54,4.54
3ta1,3.25,4.54,4.54
4lm0,3.25,4.54,4.54
3t1l,3.26,4.54,4.54
5yas,3.26,4.54,4.54
3ioe,3.27,4.54,4.54
3d52,3.28,4.54,4.54
3tfu,3.28,4.54,4.54
4fl1,3.28,4.54,4.54
1d7j,3.3,4.54,4.54
1phw,3.3,4.54,4.54
1tpw,3.3,4.54,4.54
2vw2,3.3,4.54,4.54
3aaq,3.3,4.54,4.54
4msa,3.3,4.54,4.54
4np3,3.3,4.54,4.54
1i2s,3.31,4.54,4.54
1pzp,3.31,4.54,4.54
1pzo,3.32,4.54,4.54
2wk6,3.32,4.54,4.54
4cjp,3.32,4.54,4.54
4i7j,3.32,4.54,4.54
188l,3.33,4.54,4.54
1jlr,3.33,4.54,4.54
2pnc,3.33,4.54,4.54
4ab9,3.33,4.54,4.54
4b0b,3.33,4.54,4.54
4b5t,3.33,4.54,4.54
4b5w,3.33,4.54,4.54
3f33,3.34,4.54,4.54
4b32,3.34,4.54,4.54
4bt4,3.34,4.54,4.54
3c2o,3.35,4.54,4.54
3pwk,3.35,4.54,4.54
2vc7,3.36,4.54,4.54
4cj4,3.36,4.54,4.54
1tnh,3.37,4.54,4.54
1v2u,3.37,4.54,4.54
3d8z,3.37,4.54,4.54
3n35,3.37,4.54,4.54
4b33,3.37,4.54,4.54
2fzg,3.38,4.54,4.54
3tay,3.38,4.54,4.54
3w07,3.38,4.54,4.54
4qll,3.38,4.54,4.54
1toj,3.39,4.54,4.54
4ipn,3.39,4.54,4.54
4lhm,3.39,4.54,4.54
1bxr,3.4,4.54,4.54
1f8d,3.4,4.54,4.54
1ikt,3.4,4.54,4.54
1l83,3.4,4.54,4.54
1m83,3.4,4.54,4.54
2vvp,3.4,4.54,4.54
3d8y,3.4,4.54,4.54
3jzh,3.4,4.54,4.54
2v2c,3.41,4.54,4.54
2qtn,3.42,4.54,4.54
2sim,3.42,4.54,4.54
2w08,3.42,4.54,4.54
3iob,3.42,4.54,4.54
4llj,3.42,4.54,4.54
4n8q,3.42,4.54,4.54
2xog,3.43,4.54,4.54
3axz,3.43,4.54,4.54
4umc,3.44,4.54,4.54
3nik,3.45,4.54,4.54
1moq,3.46,4.54,4.54
3muz,3.46,4.54,4.54
4k5p,3.46,4.54,4.54
4tz2,3.46,4.54,4.54
3ta0,3.47,4.54,4.54
4epy,3.47,4.54,4.54
4h42,3.47,4.54,4.54
2p3i,3.48,4.54,4.54
3g1d,3.48,4.54,4.54
3gx0,3.48,4.54,4.54
3nyd,3.48,4.54,4.54
4k7n,3.48,4.54,4.54
1c5o,3.49,4.54,4.54
1utn,3.49,4.54,4.54
4avs,3.49,4.54,4.54
4b5s,3.49,4.54,4.54
4i7p,3.5,4.54,4.54
2r0h,3.51,4.54,4.54
5cp9,3.51,4.54,4.54
1jys,3.52,4.54,4.54
2j27,3.52,4.54,4.54
2vw1,3.52,4.54,4.54
3lcu,3.52,4.54,4.54
185l,3.54,4.54,4.54
3obq,3.54,4.54,4.54
1v2r,3.55,4.54,4.54
2cle,3.55,4.54,4.54
2qwc,3.55,4.54,4.54
4aji,3.55,4.54,4.54
5btx,3.55,4.54,4.54
1h46,3.57,4.54,4.54
1np0,3.57,4.54,4.54
3ff3,3.57,4.54,4.54
4ck3,3.57,4.54,4.54
4ibb,3.57,4.54,4.54
1nli,3.59,4.54,4.54
2gsu,3.59,4.54,4.54
4cjq,3.59,4.54,4.54
4q7v,3.59,4.54,4.54
1d7i,3.6,4.54,4.54
2fzk,3.6,4.54,4.54
2qpu,3.6,4.54,4.54
2xdk,3.6,4.54,4.54
3afk,3.6,4.54,4.54
3b3x,3.6,4.54,4.54
3g0i,3.6,4.54,4.54
3jdw,3.6,4.54,4.54
4b3b,3.6,4.54,4.54
3jzj,3.61,4.54,4.54
3sk2,3.61,4.54,4.54
1pb9,3.62,4.54,4.54
4rrf,3.62,4.54,4.54
5dqe,3.63,4.54,4.54
1gyy,3.64,4.54,4.54
2azr,3.64,4.54,4.54
2rk8,3.64,4.54,4.54
4iuo,3.64,4.54,4.54
4agl,3.65,4.54,4.54
2qv7,3.66,4.54,4.54
3buh,3.66,4.54,4.54
3oy8,3.66,4.54,4.54
3pcn,3.66,4.54,4.54
3t2q,3.66,4.54,4.54
4fl2,3.66,4.54,4.54
1c3x,3.68,4.54,4.54
3ioc,3.68,4.54,4.54
3isj,3.68,4.54,4.54
4aje,3.68,4.54,4.54
4io7,3.68,4.54,4.54
4isu,3.68,4.54,4.54
2a8g,3.69,4.54,4.54
3d7b,3.69,4.54,4.54
1gz4,3.7,4.54,4.54
1loq,3.7,4.54,4.54
1pdz,3.7,4.54,4.54
1wht,3.7,4.54,4.54
2fx6,3.7,4.54,4.54
3l59,3.7,4.54,4.54
2vfk,3.71,4.54,4.54
3fj7,3.71,4.54,4.54
3g32,3.71,4.54,4.54
1ai5,3.72,4.54,4.54
1grp,3.72,4.54,4.54
2am4,3.72,4.54,4.54
2r23,3.72,4.54,4.54
3f5l,3.72,4.54,4.54
3q6z,3.72,4.54,4.54
4tln,3.72,4.54,4.54
4ufm,3.72,4.54,4.54
3fjg,3.73,4.54,4.54
4fz3,3.73,4.54,4.54
1f5k,3.74,4.54,4.54
2wq5,3.74,4.54,4.54
2pyi,3.75,4.54,4.54
3d6p,3.75,4.54,4.54
2x09,3.76,4.54,4.54
4tu4,3.76,4.54,4.54
4w52,3.76,4.54,4.54
1kui,3.77,4.54,4.54
2y9g,3.77,4.54,4.54
4q46,3.77,4.54,4.54
2clk,3.79,4.54,4.54
1kug,3.8,4.54,4.54
1li6,3.8,4.54,4.54
1nje,3.8,4.54,4.54
3t09,3.8,4.54,4.54
4ajl,3.8,4.54,4.54
2hu6,3.81,4.54,4.54
3ai8,3.81,4.54,4.54
3g2h,3.82,4.54,4.54
4bks,3.82,4.54,4.54
4keq,3.82,4.54,4.54
1j16,3.84,4.54,4.54
1utj,3.84,4.54,4.54
3lzz,3.84,4.54,4.54
2wzs,3.85,4.54,4.54
2yb0,3.85,4.54,4.54
3mv0,3.85,4.54,4.54
3wq5,3.85,4.54,4.54
4kiu,3.85,4.54,4.54
3lbz,3.86,4.54,4.54
3spf,3.86,4.54,4.54
4i9u,3.86,4.54,4.54
1aj7,3.87,4.54,4.54
1v16,3.87,4.54,4.54
3g2l,3.87,4.54,4.54
3wjw,3.87,4.54,4.54
4nbk,3.87,4.54,4.54
3si4,3.88,4.54,4.54
4mjp,3.88,4.54,4.54
1m0q,3.89,4.54,4.54
2ctc,3.89,4.54,4.54
3iae,3.89,4.54,4.54
3obx,3.89,4.54,4.54
3umo,3.89,4.54,4.54
4aj4,3.89,4.54,4.54
4nl1,3.89,4.54,4.54
1avn,3.9,4.54,4.54
2gvv,3.9,4.54,4.54
2rkm,3.9,4.54,4.54
2vuk,3.9,4.54,4.54
2wor,3.9,4.54,4.54
2wos,3.9,4.54,4.54
2xpc,3.9,4.54,4.54
4n9c,3.9,4.54,4.54
4qgi,3.9,4.54,4.54
1kuk,3.91,4.54,4.54
1pr5,3.92,4.54,4.54
3ap4,3.92,4.54,4.54
1h5v,3.93,4.54,4.54
2cbz,3.93,4.54,4.54
1v1m,3.94,4.54,4.54
4bi6,3.95,4.54,4.54
1mrs,3.96,4.54,4.54
2fpz,3.96,4.54,4.54
2wec,3.96,4.54,4.54
3c39,3.96,4.54,4.54
3gt9,3.96,4.54,4.54
4gqr,3.96,4.54,4.54
4ibg,3.97,4.54,4.54
1v11,3.98,4.54,4.54
3b3c,3.98,4.54,4.54
4agm,3.98,4.54,4.54
1rpf,3.99,4.54,4.54
2g8r,3.99,4.54,4.54
1e5j,4,4.54,4.54
1lgw,4,4.54,4.54
1tni,4,4.54,4.54
1wc1,4,4.54,4.54
2buv,4,4.54,4.54
2ot1,4,4.54,4.54
2qrl,4,4.54,4.54
2rin,4,4.54,4.54
2whp,4,4.54,4.54
3ijh,4,4.54,4.54
3m8t,4,4.54,4.54
3vd9,4,4.54,4.54
4p6c,4,4.54,4.54
1v2w,4.01,4.54,4.54
3fzn,4.01,4.54,4.54
2wvz,4.02,4.54,4.54
3po1,4.02,4.54,4.54
2q8m,4.03,4.54,4.54
2qrm,4.03,4.54,4.54
2x96,4.03,4.54,4.54
3bxh,4.03,4.54,4.54
1hi5,4.04,4.54,4.54
1li2,4.04,4.54,4.54
1r4w,4.05,4.54,4.54
1toi,4.05,4.54,4.54
1tuf,4.05,4.54,4.54
3fjz,4.05,4.54,4.54
3n8k,4.05,4.54,4.54
3qx9,4.05,4.54,4.54
2clh,4.06,4.54,4.54
3m3c,4.06,4.54,4.54
8a3h,4.06,4.54,4.54
1hyo,4.07,4.54,4.54
2v2v,4.07,4.54,4.54
4xmr,4.07,4.54,4.54
2rke,4.08,4.54,4.54
2z1w,4.08,4.54,4.54
1ai7,4.09,4.54,4.54
1o0n,4.09,4.54,4.54
2v88,4.09,4.54,4.54
4b9z,4.09,4.54,4.54
1c5t,4.1,4.54,4.54
1odj,4.1,4.54,4.54
2bvs,4.1,4.54,4.54
3iod,4.1,4.54,4.54
5cc2,4.1,4.54,4.54
1p19,4.11,4.54,4.54
2exm,4.11,4.54,4.54
3d6o,4.11,4.54,4.54
3oyw,4.11,4.54,4.54
3v4t,4.11,4.54,4.54
3a1d,4.12,4.54,4.54
3ivc,4.12,4.54,4.54
3mam,4.12,4.54,4.54
4kxb,4.12,4.54,4.54
4qfn,4.12,4.54,4.54
4whs,4.12,4.54,4.54
4zow,4.12,4.54,4.54
3qto,4.13,4.54,4.54
4ovf,4.13,4.54,4.54
4i7m,4.14,4.54,4.54
4ibi,4.14,4.54,4.54
5dq8,4.14,4.54,4.54
1m2x,4.15,4.54,4.54
1q91,4.15,4.54,4.54
2v2q,4.15,4.54,4.54
2vt3,4.15,4.54,4.54
2xg9,4.15,4.54,4.54
3a9i,4.15,4.54,4.54
3d51,4.15,4.54,4.54
3sur,4.15,4.54,4.54
3sus,4.15,4.54,4.54
4abh,4.15,4.54,4.54
4cr5,4.15,4.54,4.54
4ibe,4.15,4.54,4.54
4kz4,4.15,4.54,4.54
3si3,4.16,4.54,4.54
4jkw,4.16,4.54,4.54
1v2s,4.17,4.54,4.54
2qfu,4.18,4.54,4.54
3q2j,4.18,4.54,4.54
1hi3,4.19,4.54,4.54
3b3w,4.19,4.54,4.54
3cft,4.19,4.54,4.54
3cr5,4.19,4.54,4.54
3sv2,4.19,4.54,4.54
4n9a,4.19,4.54,4.54
4nra,4.19,4.54,4.54
4q83,4.19,4.54,4.54
1c5y,4.2,4.54,4.54
1c87,4.2,4.54,4.54
1ghw,4.2,4.54,4.54
2r2b,4.2,4.54,4.54
3djp,4.2,4.54,4.54
1odi,4.21,4.54,4.54
1qk4,4.21,4.54,4.54
4bqs,4.21,4.54,4.54
1kv5,4.22,4.54,4.54
1pzi,4.22,4.54,4.54
1t5f,4.22,4.54,4.54
1ua4,4.22,4.54,4.54
3f80,4.22,4.54,4.54
3kyq,4.22,4.54,4.54
4gny,4.22,4.54,4.54
4mo4,4.22,4.54,4.54
4oak,4.22,4.54,4.54
2jke,4.23,4.54,4.54
2jkp,4.23,4.54,4.54
3zqe,4.23,4.54,4.54
4qfp,4.23,4.54,4.54
2bes,4.24,4.54,4.54
3h78,4.24,4.54,4.54
3h78,4.24,4.54,4.54
1li3,4.25,4.54,4.54
2qrk,4.26,4.54,4.54
3qwc,4.26,4.54,4.54
4r0a,4.26,4.54,4.54
4u69,4.26,4.54,4.54
1m5w,4.27,4.54,4.54
4qfo,4.27,4.54,4.54
3f5j,4.28,4.54,4.54
3gta,4.28,4.54,4.54
3jrs,4.28,4.54,4.54
4ufj,4.28,4.54,4.54
1e2l,4.29,4.54,4.54
1v2l,4.29,4.54,4.54
2wuf,4.29,4.54,4.54
4i3z,4.29,4.54,4.54
1amk,4.3,4.54,4.54
1det,4.3,4.54,4.54
1w3k,4.3,4.54,4.54
2cli,4.3,4.54,4.54
2q7y,4.3,4.54,4.54
3moe,4.3,4.54,4.54
3obu,4.3,4.54,4.54
3upk,4.3,4.54,4.54
4eoh,4.3,4.54,4.54
4ibk,4.3,4.54,4.54
4jc1,4.3,4.54,4.54
4k7o,4.3,4.54,4.54
4o61,4.3,4.54,4.54
4zme,4.3,4.54,4.54
1ajq,4.31,4.54,4.54
2tpi,4.31,4.54,4.54
4kow,4.31,4.54,4.54
2ha6,4.32,4.54,4.54
2qtt,4.32,4.54,4.54
4q7p,4.32,4.54,4.54
4rsk,4.32,4.54,4.54
4u43,4.32,4.54,4.54
4ucc,4.32,4.54,4.54
1olx,4.33,4.54,4.54
3l7a,4.33,4.54,4.54
4ijh,4.33,4.54,4.54
1e3v,4.34,4.54,4.54
1ghv,4.35,4.54,4.54
1sv3,4.35,4.54,4.54
1yfz,4.35,4.54,4.54
4owv,4.35,4.54,4.54
1dy4,4.36,4.54,4.54
2ez7,4.36,4.54,4.54
3rsr,4.36,4.54,4.54
1td7,4.37,4.54,4.54
4gu9,4.37,4.54,4.54
1bhf,4.38,4.54,4.54
3b24,4.38,4.54,4.54
3guz,4.38,4.54,4.54
3djo,4.39,4.54,4.54
1p57,4.4,4.54,4.54
2pwd,4.4,4.54,4.54
3jzg,4.4,4.54,4.54
3wgg,4.4,4.54,4.54
4abd,4.4,4.54,4.54
4dy6,4.4,4.54,4.54
4omk,4.4,4.54,4.54
4pp0,4.4,4.54,4.54
1no6,4.41,4.54,4.54
2csn,4.41,4.54,4.54
2ypp,4.41,4.54,4.54
3uxd,4.41,4.54,4.54
4exs,4.41,4.54,4.54
4ou3,4.41,4.54,4.54
1tjp,4.42,4.54,4.54
3dri,4.42,4.54,4.54
4cc5,4.42,4.54,4.54
4ek9,4.42,4.54,4.54
4q7s,4.42,4.54,4.54
2pu2,4.43,4.54,4.54
2we3,4.43,4.54,4.54
2wyf,4.43,4.54,4.54
3kqr,4.43,4.54,4.54
3m3e,4.43,4.54,4.54
4axd,4.43,4.54,4.54
4dsy,4.43,4.54,4.54
4ibf,4.43,4.54,4.54
4jpy,4.43,4.54,4.54
4kcx,4.43,4.54,4.54
4ykj,4.43,4.54,4.54
2amt,4.44,4.54,4.54
3u81,4.44,4.54,4.54
5azf,4.44,4.54,4.54
4gki,4.46,4.54,4.54
4i8n,4.46,4.54,4.54
5c3p,4.46,4.54,4.54
2r2w,4.47,4.54,4.54
3hl5,4.47,4.54,4.54
4cu8,4.47,4.54,4.54
1jaq,4.48,4.54,4.54
1qan,4.48,4.54,4.54
2ogy,4.48,4.54,4.54
3p17,4.48,4.54,4.54
3t01,4.48,4.54,4.54
4dhl,4.48,4.54,4.54
1hi4,4.49,4.54,4.54
1j14,4.49,4.54,4.54
1o7o,4.49,4.54,4.54
3hl8,4.49,4.54,4.54
3kmy,4.49,4.54,4.54
4cwf,4.49,4.54,4.54
4el0,4.49,4.54,4.54
2eg8,4.5,4.54,4.54
3n7h,4.5,4.54,4.54
3sw8,4.5,4.54,4.54
1gi7,4.51,4.54,4.54
2r1y,4.51,4.54,4.54
3aas,4.51,4.54,4.54
3uug,4.51,4.54,4.54
4abb,4.51,4.54,4.54
1ctt,4.52,4.54,4.54
1gu1,4.52,4.54,4.54
1mrn,4.52,4.54,4.54
1z4o,4.52,4.54,4.54
2a4m,4.52,4.54,4.54
2ra6,4.52,4.54,4.54
2wm0,4.52,4.54,4.54
3bzf,4.52,4.54,4.54
3gy7,4.52,4.54,4.54
3r6u,4.52,4.54,4.54
4gzw,4.52,4.54,4.54
4trc,4.52,4.54,4.54
1amw,4.54,4.54,4.54
1b2h,4.54,4.54,4.54
1lyx,4.54,4.54,4.54
1szd,4.54,4.54,4.54
2zz1,4.54,4.54,4.54
2zz2,4.54,4.54,4.54
3iub,4.54,4.54,4.54
4b76,4.54,4.54,4.54
3b2q,4.55,5.89,5.89
3p8p,4.55,5.89,5.89
3ppq,4.55,5.89,5.89
3suv,4.55,5.89,5.89
4myd,4.55,5.89,5.89
4x3k,4.56,5.89,5.89
3sym,4.57,5.89,5.89
4or4,4.57,5.89,5.89
4yrd,4.57,5.89,5.89
4bi7,4.58,5.89,5.89
1bma,4.59,5.89,5.89
2ihj,4.59,5.89,5.89
3f3t,4.59,5.89,5.89
3hp9,4.59,5.89,5.89
3ujc,4.59,5.89,5.89
3wq6,4.59,5.89,5.89
4c6u,4.59,5.89,5.89
4g8y,4.59,5.89,5.89
4j74,4.59,5.89,5.89
1pa9,4.6,5.89,5.89
1tx7,4.6,5.89,5.89
1u33,4.6,5.89,5.89
1upf,4.6,5.89,5.89
2pyy,4.6,5.89,5.89
2vb8,4.6,5.89,5.89
2vba,4.6,5.89,5.89
2wlz,4.6,5.89,5.89
3d7k,4.6,5.89,5.89
3vhk,4.6,5.89,5.89
4bc5,4.6,5.89,5.89
4jal,4.6,5.89,5.89
4p58,4.6,5.89,5.89
2bo4,4.61,5.89,5.89
3lgs,4.61,5.89,5.89
4io4,4.61,5.89,5.89
1f4f,4.62,5.89,5.89
2a5c,4.62,5.89,5.89
2f6t,4.62,5.89,5.89
2xm2,4.62,5.89,5.89
3f5k,4.62,5.89,5.89
3tk2,4.62,5.89,5.89
3u90,4.62,5.89,5.89
3umq,4.62,5.89,5.89
4abf,4.62,5.89,5.89
4ad3,4.62,5.89,5.89
4ynl,4.62,5.89,5.89
3uj9,4.63,5.89,5.89
4hzm,4.63,5.89,5.89
4psb,4.64,5.89,5.89
4q93,4.65,5.89,5.89
1bzj,4.66,5.89,5.89
1h4w,4.66,5.89,5.89
1m1b,4.66,5.89,5.89
2ca8,4.66,5.89,5.89
2ha2,4.66,5.89,5.89
3ddf,4.66,5.89,5.89
4tt2,4.66,5.89,5.89
3vw1,4.67,5.89,5.89
4gkh,4.67,5.89,5.89
4nku,4.67,5.89,5.89
1c5p,4.68,5.89,5.89
1wn6,4.68,5.89,5.89
1xge,4.68,5.89,5.89
2nsl,4.68,5.89,5.89
2uy4,4.68,5.89,5.89
2ypo,4.68,5.89,5.89
3g35,4.68,5.89,5.89
4lar,4.68,5.89,5.89
5a5q,4.68,5.89,5.89
5aoj,4.68,5.89,5.89
2rio,4.69,5.89,5.89
4tpw,4.69,5.89,5.89
1c5n,4.7,5.89,5.89
1c86,4.7,5.89,5.89
2cex,4.7,5.89,5.89
2dw7,4.7,5.89,5.89
2fu8,4.7,5.89,5.89
2i2c,4.7,5.89,5.89
2qfo,4.7,5.89,5.89
3k5i,4.7,5.89,5.89
3kiv,4.7,5.89,5.89
3nkk,4.7,5.89,5.89
3suw,4.7,5.89,5.89
4j7d,4.7,5.89,5.89
4j93,4.7,5.89,5.89
4luz,4.7,5.89,5.89
4lzr,4.7,5.89,5.89
1v2t,4.71,5.89,5.89
2qrh,4.71,5.89,5.89
3ny3,4.71,5.89,5.89
4ljh,4.71,5.89,5.89
184l,4.72,5.89,5.89
3ebo,4.72,5.89,5.89
3f6g,4.72,5.89,5.89
1v2o,4.73,5.89,5.89
4ayu,4.73,5.89,5.89
1bty,4.74,5.89,5.89
1w4p,4.74,5.89,5.89
2e2p,4.74,5.89,5.89
2ov4,4.74,5.89,5.89
3dnt,4.74,5.89,5.89
3f3u,4.74,5.89,5.89
3lcv,4.74,5.89,5.89
4ih6,4.74,5.89,5.89
4kyk,4.74,5.89,5.89
3g2j,4.75,5.89,5.89
3nim,4.75,5.89,5.89
3vw2,4.75,5.89,5.89
3o5n,4.76,5.89,5.89
4wop,4.76,5.89,5.89
1str,4.77,5.89,5.89
2afw,4.77,5.89,5.89
3d50,4.77,5.89,5.89
3iqu,4.77,5.89,5.89
3rm9,4.77,5.89,5.89
4kax,4.77,5.89,5.89
4uoh,4.77,5.89,5.89
4ad6,4.78,5.89,5.89
1oss,4.79,5.89,5.89
2nsj,4.79,5.89,5.89
3eb1,4.79,5.89,5.89
3g2k,4.79,5.89,5.89
1bju,4.8,5.89,5.89
1ghz,4.8,5.89,5.89
2nta,4.8,5.89,5.89
3bpc,4.8,5.89,5.89
3dnd,4.8,5.89,5.89
4aq6,4.8,5.89,5.89
4llp,4.8,5.89,5.89
4pb2,4.8,5.89,5.89
4ago,4.81,5.89,5.89
1aid,4.82,5.89,5.89
1dud,4.82,5.89,5.89
1f8e,4.82,5.89,5.89
1xff,4.82,5.89,5.89
1y3p,4.82,5.89,5.89
2gl0,4.82,5.89,5.89
2gzl,4.82,5.89,5.89
2pwg,4.82,5.89,5.89
2ypi,4.82,5.89,5.89
3kmx,4.82,5.89,5.89
3vd4,4.82,5.89,5.89
4fys,4.82,5.89,5.89
4ih3,4.82,5.89,5.89
4io6,4.82,5.89,5.89
4rlu,4.82,5.89,5.89
3a1s,4.83,5.89,5.89
5efa,4.83,5.89,5.89
3r0y,4.84,5.89,5.89
4kif,4.84,5.89,5.89
4uof,4.84,5.89,5.89
5d1r,4.84,5.89,5.89
186l,4.85,5.89,5.89
1c83,4.85,5.89,5.89
1ecv,4.85,5.89,5.89
1n51,4.85,5.89,5.89
1qji,4.85,5.89,5.89
1xgi,4.85,5.89,5.89
2r9x,4.85,5.89,5.89
3cj2,4.85,5.89,5.89
3ohi,4.85,5.89,5.89
3qnd,4.85,5.89,5.89
3ru1,4.85,5.89,5.89
3zyf,4.85,5.89,5.89
4hpi,4.85,5.89,5.89
4iic,4.85,5.89,5.89
4j7e,4.85,5.89,5.89
4ovh,4.85,5.89,5.89
4q87,4.85,5.89,5.89
5efc,4.85,5.89,5.89
3g2i,4.86,5.89,5.89
4q0k,4.87,5.89,5.89
4rlw,4.87,5.89,5.89
4rra,4.87,5.89,5.89
3exh,4.88,5.89,5.89
3lp4,4.88,5.89,5.89
3pju,4.88,5.89,5.89
2aoc,4.89,5.89,5.89
2j77,4.89,5.89,5.89
2vo5,4.89,5.89,5.89
3juk,4.89,5.89,5.89
3m8u,4.89,5.89,5.89
3njq,4.89,5.89,5.89
4cd1,4.89,5.89,5.89
4l9i,4.89,5.89,5.89
4pnu,4.89,5.89,5.89
3cf8,4.9,5.89,5.89
1km3,4.91,5.89,5.89
3juq,4.91,5.89,5.89
3rdv,4.91,5.89,5.89
1e1v,4.92,5.89,5.89
1jqy,4.92,5.89,5.89
2haw,4.92,5.89,5.89
3eax,4.92,5.89,5.89
3rv8,4.92,5.89,5.89
4j47,4.92,5.89,5.89
3uxk,4.93,5.89,5.89
2gss,4.94,5.89,5.89
2vo4,4.94,5.89,5.89
2vpe,4.94,5.89,5.89
4dmw,4.94,5.89,5.89
4ts1,4.94,5.89,5.89
1jn4,4.95,5.89,5.89
2x95,4.95,5.89,5.89
4bup,4.95,5.89,5.89
1dar,4.96,5.89,5.89
1elr,4.96,5.89,5.89
1o5g,4.96,5.89,5.89
1tsy,4.96,5.89,5.89
1uz8,4.96,5.89,5.89
2vjx,4.96,5.89,5.89
3bxg,4.96,5.89,5.89
3lbj,4.96,5.89,5.89
3veh,4.96,5.89,5.89
3zsq,4.96,5.89,5.89
4jsa,4.96,5.89,5.89
4rlt,4.96,5.89,5.89
3qbc,4.97,5.89,5.89
4e3g,4.97,5.89,5.89
4in9,4.97,5.89,5.89
2w47,4.98,5.89,5.89
4w9d,4.99,5.89,5.89
1hlk,5,5.89,5.89
1o35,5,5.89,5.89
1ql7,5,5.89,5.89
1sbr,5,5.89,5.89
2oiq,5,5.89,5.89
2oym,5,5.89,5.89
2vxn,5,5.89,5.89
3cfn,5,5.89,5.89
3gbe,5,5.89,5.89
3k02,5,5.89,5.89
3p9m,5,5.89,5.89
4czs,5,5.89,5.89
4u6c,5,5.89,5.89
4xxh,5,5.89,5.89
